Title,Description,Runtime,Genre,Year
It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130,"Drama, Family, Fantasy            ",1946
Gisaengchung,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",132,"Comedy, Drama, Thriller            ",2019
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149,"Action, Adventure, Sci-Fi            ",2018
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,"Drama, Music            ",2014
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,"Biography, Comedy, Drama            ",2011
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130,"Drama, Mystery, Sci-Fi            ",2006
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,"Crime, Drama, Thriller            ",2006
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150,"Biography, Drama, Music            ",2002
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155,"Action, Adventure, Drama            ",2000
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119,Drama            ,1998
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106,"Crime, Mystery, Thriller            ",1995
Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",110,"Action, Crime, Drama            ",1994
The Lion King,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",88,"Animation, Adventure, Drama            ",1994
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",137,"Action, Sci-Fi            ",1991
Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,155,Drama            ,1988
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,89,"Animation, Drama, War            ",1988
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,"Adventure, Comedy, Sci-Fi            ",1985
Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,165,Western            ,1968
